scenario,cohort_id,household_mass,annual_mwh,commodity_old,commodity_new,distribution_czk_mwh,fixed_czk_month,levy_czk_mwh,vat,reset_earliest,reset_latest,exposure_status,source_available_from,commodity_source_id,input_vintage_status,missing_previous_bill_bounds,missing_current_bill_bounds,assumption
A_JANUARY_RESET,assumed_cohort_1,0.3333333333333333,1.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-01,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
A_JANUARY_RESET,assumed_cohort_2,0.3333333333333333,3.5,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-01,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
A_JANUARY_RESET,assumed_cohort_3,0.3333333333333333,10.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-01,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
B_STAGGERED_RESET,assumed_cohort_1,0.3333333333333333,1.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-01,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
B_STAGGERED_RESET,assumed_cohort_2,0.3333333333333333,3.5,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-04,2026-04,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
B_STAGGERED_RESET,assumed_cohort_3,0.3333333333333333,10.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-07,2026-07,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
C_RESET_WINDOW,assumed_cohort_1,0.3333333333333333,1.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-12,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
C_RESET_WINDOW,assumed_cohort_2,0.3333333333333333,3.5,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-12,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
C_RESET_WINDOW,assumed_cohort_3,0.3333333333333333,10.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,2026-01,2026-12,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
D_UNKNOWN_RESET,assumed_cohort_1,0.3333333333333333,1.0,3430.0,3190.0,1500.0,100.0,495.0,0.21,,,assumption,2025-12-30T23:59:59+00:00,CEZ_2026_price_release,dated_statement_retrieved_2026_not_archived_origin_vintage,,,"All masses, fixed quantities, distribution and fixed fees are assumed. CEZ D02 3430->3190 ex-VAT commodity is a source fact; timing beyond January is hypothetical. Cap-binding POZE only; all other regulated components held constant. Not a complete 2026 tariff schedule or national CPI forecast."
