model,h,sample,n,n_active,correlation,correlation_active_only,mse_gain_vs_fast
PRESS_ULC_R23B,3,full,87,46,0.32594312997312513,0.48820420828942757,0.05536601856567325
PRESS_ULC_R23B,3,origins_2024plus,28,28,0.03125408429603554,0.03125408429603554,-0.017930202792405814
PRESS_DOMESTIC_R23B,3,full,87,43,0.25575810791753695,0.5119740340778998,0.03851139203923981
PRESS_DOMESTIC_R23B,3,origins_2024plus,28,28,0.032951242804233574,0.032951242804233574,-0.017939354413161065
PRESS_MOMENTUM_R23B,3,full,87,55,0.1125434190933491,0.11961709868390351,-0.000794951229951546
PRESS_MOMENTUM_R23B,3,origins_2024plus,28,19,-0.3657679750930238,-0.36801172904939344,-0.017881379654242358
PRESS_JOINT_R23B,3,full,87,58,0.26976167067036644,0.3944959580931501,0.04716331413778818
PRESS_JOINT_R23B,3,origins_2024plus,28,28,-0.11259496994078286,-0.11259496994078286,-0.018793903732893247
PRESS_SIGNED_R23B,3,full,87,52,0.20841489655337433,0.33130928808371796,0.022523243008467198
PRESS_SIGNED_R23B,3,origins_2024plus,28,28,-0.06757875716549865,-0.06757875716549865,-0.019862465568291576
PRESS_LEVELS_R23B,3,full,87,46,0.13660345677133748,0.26828893683402877,0.012254082523559306
PRESS_LEVELS_R23B,3,origins_2024plus,28,28,0.04004608938142881,0.04004608938142881,-0.018363080128573184
CORE_FEEDBACK_R21,3,full,87,74,0.019686536764797827,0.020239178250626738,-0.014216504571075594
CORE_FEEDBACK_R21,3,origins_2024plus,28,28,0.06684072338864147,0.06684072338864147,-0.01761968495637084
PRESS_ULC_R23B,6,full,84,63,0.42379580013650664,0.5046903444398657,0.4209183190494974
PRESS_ULC_R23B,6,origins_2024plus,25,25,0.15415656992713803,0.15415656992713803,-0.10727031109667823
PRESS_DOMESTIC_R23B,6,full,84,51,0.26506311322329523,0.521745520874816,0.19859296016974382
PRESS_DOMESTIC_R23B,6,origins_2024plus,25,25,0.16232607029530252,0.16232607029530252,-0.10501932857719237
PRESS_MOMENTUM_R23B,6,full,84,69,0.03225290148163887,0.026282104658938005,-0.0904005704231885
PRESS_MOMENTUM_R23B,6,origins_2024plus,25,16,-0.4104563510148306,-0.38321480802347185,-0.029893719461613705
PRESS_JOINT_R23B,6,full,84,69,0.27743347159016685,0.3152521780079961,0.21891670056584545
PRESS_JOINT_R23B,6,origins_2024plus,25,25,0.13674967157292747,0.13674967157292747,-0.10928122775737503
PRESS_SIGNED_R23B,6,full,84,60,0.21890067519661704,0.2789886738083583,0.11165208697764184
PRESS_SIGNED_R23B,6,origins_2024plus,25,25,0.07211867903117952,0.07211867903117952,-0.10339284255218462
PRESS_LEVELS_R23B,6,full,84,54,0.14323267772612205,0.3624200063168775,0.0572738156262842
PRESS_LEVELS_R23B,6,origins_2024plus,25,25,0.11290433447714772,0.11290433447714772,-0.1513307845720288
CORE_FEEDBACK_R21,6,full,84,71,-0.05167703855895232,-0.052812540561020395,-0.1002891348887287
CORE_FEEDBACK_R21,6,origins_2024plus,25,25,0.13585570387816662,0.13585570387816662,-0.06946929972457355
PRESS_ULC_R23B,12,full,78,57,0.42555787022835684,0.4723562803149723,1.2579383987133532
PRESS_ULC_R23B,12,origins_2024plus,19,19,0.30328990212029333,0.30328990212029333,-0.019200218706069805
PRESS_DOMESTIC_R23B,12,full,78,45,0.25736113855399323,0.5826394951646465,0.6685455796586126
PRESS_DOMESTIC_R23B,12,origins_2024plus,19,19,0.3044210133160175,0.3044210133160175,-0.014442330007134296
PRESS_MOMENTUM_R23B,12,full,78,63,-0.09133775765048885,-0.08449507415450183,-0.4163525970543276
PRESS_MOMENTUM_R23B,12,origins_2024plus,19,10,-0.36945018728004037,-0.4309707761113125,-0.011030682521540935
PRESS_JOINT_R23B,12,full,78,63,0.18174175242756566,0.18526060164936775,0.5349228237442638
PRESS_JOINT_R23B,12,origins_2024plus,19,19,0.287049565247578,0.287049565247578,-0.04121946488529765
PRESS_SIGNED_R23B,12,full,78,54,0.11199018516511927,0.09102621719334847,0.20634315001889902
PRESS_SIGNED_R23B,12,origins_2024plus,19,19,0.27188966301311235,0.27188966301311235,-0.03325622455618299
PRESS_LEVELS_R23B,12,full,78,48,0.14218561475184063,0.3778311259799331,0.2577031346633518
PRESS_LEVELS_R23B,12,origins_2024plus,19,19,0.2702821731881997,0.2702821731881997,-0.04724036498998313
CORE_FEEDBACK_R21,12,full,78,65,-0.1944238232280293,-0.19601597932695752,-0.765372467828719
CORE_FEEDBACK_R21,12,origins_2024plus,19,19,0.011536709688255629,0.011536709688255629,-0.2163249349296546
