origin,clock,latest_food_month_published,own_mu_window,own_mu_robust,own_mu_long,audit_mu_window,audit_mu_robust,audit_mu_long,own_n_train,audit_n_train,own_train_start,own_train_end,audit_train_start,audit_train_end,n_windows_robust,n_windows_long,plain_window_mean,diff_mu_window,diff_mu_robust,diff_mu_long
2019-02,2019-03-10 22:59:00+00:00,2019-01,0.14375164012152786,0.19889567838869385,0.213228393586211,0.1437516401215278,0.1988956783886938,0.213228393586211,42,42,2015-08,2019-01,2015-08,2019-01,31,266,0.16618038556081413,5.551115123125783e-17,5.551115123125783e-17,0.0
2019-03,2019-04-09 21:59:00+00:00,2019-02,0.15297723419812168,0.19469008117788858,0.21055524668355474,0.1529772341981216,0.1946900811778885,0.2105552466835547,43,43,2015-08,2019-02,2015-08,2019-02,32,267,0.17967089101658495,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17
2019-04,2019-05-12 21:59:00+00:00,2019-03,0.15825110811623488,0.1904844839670833,0.2099317258741659,0.1582511081162348,0.1904844839670833,0.2099317258741659,44,44,2015-08,2019-03,2015-08,2019-03,33,268,0.17558746167529893,8.326672684688674e-17,0.0,0.0
2019-05,2019-06-10 21:59:00+00:00,2019-04,0.14987321988938274,0.1749132480117841,0.20930820506477707,0.1498732198893827,0.1749132480117841,0.209308205064777,45,45,2015-08,2019-04,2015-08,2019-04,34,269,0.15718145208988243,2.7755575615628914e-17,0.0,8.326672684688674e-17
2019-06,2019-07-10 21:59:00+00:00,2019-05,0.18462948446392166,0.1904844839670833,0.2099317258741659,0.1846294844639216,0.1904844839670833,0.2099317258741659,46,46,2015-08,2019-05,2015-08,2019-05,35,270,0.19605590790998068,5.551115123125783e-17,0.0,0.0
2019-07,2019-08-11 21:59:00+00:00,2019-06,0.19187370375914617,0.19469008117788858,0.21055524668355474,0.1918737037591461,0.1946900811778885,0.2105552466835547,47,47,2015-08,2019-06,2015-08,2019-06,36,271,0.19967813914325183,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
2019-08,2019-09-09 21:59:00+00:00,2019-07,0.18406077048185354,0.19889567838869385,0.213228393586211,0.1840607704818535,0.1988956783886938,0.213228393586211,48,48,2015-08,2019-07,2015-08,2019-07,37,272,0.18406077048185354,5.551115123125783e-17,5.551115123125783e-17,0.0
2019-09,2019-10-09 21:59:00+00:00,2019-08,0.188952479816156,0.21045979716933913,0.21590154048886726,0.188952479816156,0.2104597971693391,0.2159015404888672,49,49,2015-08,2019-08,2015-08,2019-08,38,273,0.17466940487747296,0.0,2.7755575615628914e-17,5.551115123125783e-17
2019-10,2019-11-10 22:59:00+00:00,2019-09,0.1727908492573181,0.20326210936799494,0.213228393586211,0.1727908492573181,0.2032621093679949,0.213228393586211,50,50,2015-08,2019-09,2015-08,2019-09,39,274,0.160085415347073,0.0,2.7755575615628914e-17,0.0
2019-11,2019-12-09 22:59:00+00:00,2019-10,0.18043062156399856,0.21264301265898966,0.21590154048886726,0.1804306215639985,0.2126430126589896,0.2159015404888672,51,51,2015-08,2019-10,2015-08,2019-10,40,275,0.17323366633586215,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17
