model,method,block,n,mean,ci_low,ci_high,ci90_high,p_improve,excludes_zero,t
FOOD_ZERO_DRIFT_R24,circular,6,75,1.3391634271622577,-0.7535919341282609,3.6791706115666925,3.2991481754298473,0.11735,False,
FOOD_ZERO_DRIFT_R24,circular,12,75,1.3391634271622577,-1.185119671382222,4.3980409943679275,3.8585789974040643,0.18305,False,
FOOD_ZERO_DRIFT_R24,circular,18,75,1.3391634271622577,-1.196935664117512,4.661489906982739,4.073511640947059,0.21045,False,
FOOD_ZERO_DRIFT_R24,circular,24,75,1.3391634271622577,-1.0499080200563198,4.449918659429305,3.893162687062769,0.21705,False,
FOOD_ZERO_DRIFT_R24,moving,12,75,1.3391634271622577,-1.1869937390572183,4.806153129275351,4.2285913042623635,0.15225,False,
FOOD_ZERO_DRIFT_R24,stationary,6,75,1.3391634271622577,-0.8032442543971924,4.000517284500091,3.5297205101847773,0.14,False,
FOOD_ZERO_DRIFT_R24,stationary,12,75,1.3391634271622577,-1.0471529117387084,4.164724696063021,3.7221078079384475,0.1738,False,
FOOD_ZERO_DRIFT_R24,stationary,18,75,1.3391634271622577,-1.0352417709477966,3.917548414922522,3.5219868511752352,0.1758,False,
FOOD_ZERO_DRIFT_R24,DM Newey-West t,11,75,1.3391634271622577,,,,,,0.9184486686058078
FOOD_ZERO_DRIFT_R24,DM Newey-West t,17,75,1.3391634271622577,,,,,,0.8761752001643778
FOOD_ZERO_DRIFT_R24,DM Newey-West t,23,75,1.3391634271622577,,,,,,0.9095134553719638
FOOD_ROBUST_WINDOW_R24,circular,6,75,-0.7082768933532654,-1.168888489359583,-0.30496190975484355,-0.3588543651295496,1.0,True,
FOOD_ROBUST_WINDOW_R24,circular,12,75,-0.7082768933532654,-1.2260075381387836,-0.2585293208433508,-0.3148510387336276,1.0,True,
FOOD_ROBUST_WINDOW_R24,circular,18,75,-0.7082768933532654,-1.1493911920018651,-0.2865693598564015,-0.3575684015803489,1.0,True,
FOOD_ROBUST_WINDOW_R24,circular,24,75,-0.7082768933532654,-1.0920850975388454,-0.28295291837694836,-0.35814278141308425,1.0,True,
FOOD_ROBUST_WINDOW_R24,moving,12,75,-0.7082768933532654,-1.2967854217763897,-0.29920475189465273,-0.36959305246789786,1.0,True,
FOOD_ROBUST_WINDOW_R24,stationary,6,75,-0.7082768933532654,-1.1736782783628095,-0.3018372933007073,-0.3566287789041151,1.0,True,
FOOD_ROBUST_WINDOW_R24,stationary,12,75,-0.7082768933532654,-1.1649579348756829,-0.30824872681111914,-0.365903385171687,1.0,True,
FOOD_ROBUST_WINDOW_R24,stationary,18,75,-0.7082768933532654,-1.1240330739598092,-0.3116555489538347,-0.38155961058420457,1.0,True,
FOOD_ROBUST_WINDOW_R24,DM Newey-West t,11,75,-0.7082768933532654,,,,,,-2.8580359200480174
FOOD_ROBUST_WINDOW_R24,DM Newey-West t,17,75,-0.7082768933532654,,,,,,-3.276870865460005
FOOD_ROBUST_WINDOW_R24,DM Newey-West t,23,75,-0.7082768933532654,,,,,,-3.7015894226065083
FOOD_NORM_SHIFT_R24,circular,6,75,-0.6644188233662605,-1.143997877030651,-0.27213845889294125,-0.32175031832418227,1.0,True,
FOOD_NORM_SHIFT_R24,circular,12,75,-0.6644188233662605,-1.1875397300021315,-0.24027756340633788,-0.28602282394793405,1.0,True,
FOOD_NORM_SHIFT_R24,circular,18,75,-0.6644188233662605,-1.1206867741225333,-0.2678299406647296,-0.3205541808963621,1.0,True,
FOOD_NORM_SHIFT_R24,circular,24,75,-0.6644188233662605,-1.085816030505191,-0.26717657680206575,-0.31456205058626163,1.0,True,
FOOD_NORM_SHIFT_R24,moving,12,75,-0.6644188233662605,-1.2501221097289201,-0.2591731654919565,-0.31533583598773174,1.0,True,
FOOD_NORM_SHIFT_R24,stationary,6,75,-0.6644188233662605,-1.130694067311842,-0.276233351419762,-0.3172184865555275,1.0,True,
FOOD_NORM_SHIFT_R24,stationary,12,75,-0.6644188233662605,-1.1224399469968573,-0.27093395701712997,-0.3269553037467286,1.0,True,
FOOD_NORM_SHIFT_R24,stationary,18,75,-0.6644188233662605,-1.0939377434563138,-0.28278526621102756,-0.3363009999085203,1.0,True,
FOOD_NORM_SHIFT_R24,DM Newey-West t,11,75,-0.6644188233662605,,,,,,-2.687228189854156
FOOD_NORM_SHIFT_R24,DM Newey-West t,17,75,-0.6644188233662605,,,,,,-3.036919251427509
FOOD_NORM_SHIFT_R24,DM Newey-West t,23,75,-0.6644188233662605,,,,,,-3.3049150260442945
FOOD_NORM_REFIT_R24,circular,6,75,-0.6411232996379788,-1.093084109668878,-0.26470386718245936,-0.31300445176582536,1.0,True,
FOOD_NORM_REFIT_R24,circular,12,75,-0.6411232996379788,-1.1332629165415042,-0.23346784729531092,-0.27951684359076767,1.0,True,
FOOD_NORM_REFIT_R24,circular,18,75,-0.6411232996379788,-1.0684886387145143,-0.26351267560697494,-0.3150612465256554,1.0,True,
FOOD_NORM_REFIT_R24,circular,24,75,-0.6411232996379788,-1.0325202435441623,-0.2624764965890584,-0.3094286457519334,1.0,True,
FOOD_NORM_REFIT_R24,moving,12,75,-0.6411232996379788,-1.1932252348038932,-0.25341546002664084,-0.3090652117348915,1.0,True,
FOOD_NORM_REFIT_R24,stationary,6,75,-0.6411232996379788,-1.0825080819489636,-0.2680868018107823,-0.31114282881003347,1.0,True,
FOOD_NORM_REFIT_R24,stationary,12,75,-0.6411232996379788,-1.070544271556172,-0.2668976338446281,-0.3204373970526757,1.0,True,
FOOD_NORM_REFIT_R24,stationary,18,75,-0.6411232996379788,-1.0452209396071521,-0.276698326661965,-0.3292731774188977,1.0,True,
FOOD_NORM_REFIT_R24,DM Newey-West t,11,75,-0.6411232996379788,,,,,,-2.7350063082522644
FOOD_NORM_REFIT_R24,DM Newey-West t,17,75,-0.6411232996379788,,,,,,-3.114925850936708
FOOD_NORM_REFIT_R24,DM Newey-West t,23,75,-0.6411232996379788,,,,,,-3.406341840182183
