model,H,sample,n,own_rmse,own_bias,own_zero_rmse,own_corr
FOOD_NORM_REFIT_R24,3,full,87,2.155057762463599,-0.4519839581772419,2.8154627697953862,0.597328204660356
FOOD_NORM_REFIT_R24,3,origins_2019_2021,35,1.7301802075978903,-0.3858865835653477,2.5326267130609956,0.7878664646177489
FOOD_NORM_REFIT_R24,3,origins_2022_2023,24,3.258301796583886,-1.0225347252863004,4.150223363240264,0.5300387554728881
FOOD_NORM_REFIT_R24,3,origins_2024plus,28,1.260410588736961,-0.04556216177720252,1.3595276934648135,0.469286353127149
FOOD_NORM_REFIT_R24,6,full,84,4.039064281997142,-0.8949808821878552,5.0577643456562935,0.509000079287456
FOOD_NORM_REFIT_R24,6,origins_2019_2021,35,3.86155009842841,-1.2648556338958983,5.130596042368289,0.7122594012062673
FOOD_NORM_REFIT_R24,6,origins_2022_2023,24,5.496654069596545,-1.4125733507017344,6.765832900044778,0.4508483353946676
FOOD_NORM_REFIT_R24,6,origins_2024plus,25,2.2213286048830976,0.11973253997672939,2.2703383677282165,0.3132805910009947
FOOD_NORM_REFIT_R24,12,full,78,7.379500064431333,-2.1082922141202274,8.826950490512017,0.2671684303351129
FOOD_NORM_REFIT_R24,12,origins_2019_2021,35,8.395477163278466,-4.186261976309019,10.040841545235791,0.34021126470875823
FOOD_NORM_REFIT_R24,12,origins_2022_2023,24,8.06111657723115,-0.9327508232418129,9.767098189083166,0.4385842804263269
FOOD_NORM_REFIT_R24,12,origins_2024plus,19,3.41165150918884,0.23465243301270985,3.6936492824196776,-0.5879734829217402
FOOD_NORM_SHIFT_R24,3,full,87,2.1522067820338973,-0.4787349718066427,2.8154627697953862,0.6049105475001014
FOOD_NORM_SHIFT_R24,3,origins_2019_2021,35,1.7301763729908666,-0.386369555631089,2.5326267130609956,0.7877121831499563
FOOD_NORM_SHIFT_R24,3,origins_2022_2023,24,3.2515661483198777,-1.070421669516555,4.150223363240264,0.5463687342586083
FOOD_NORM_SHIFT_R24,3,origins_2024plus,28,1.2601905039587218,-0.08703171541758856,1.3595276934648135,0.4669690725138802
FOOD_NORM_SHIFT_R24,6,full,84,4.027059630537479,-0.9256084682313841,5.0577643456562935,0.5210889272980384
FOOD_NORM_SHIFT_R24,6,origins_2019_2021,35,3.86193482158188,-1.2659629815664526,5.130596042368289,0.7121089697837555
FOOD_NORM_SHIFT_R24,6,origins_2022_2023,24,5.471912984367883,-1.467420516573475,6.765832900044778,0.4704535881624157
FOOD_NORM_SHIFT_R24,6,origins_2024plus,25,2.205744297827885,0.07102741684611913,2.2703383677282165,0.31367550163341024
FOOD_NORM_SHIFT_R24,12,full,78,7.356939139126469,-2.1366332941771713,8.826950490512017,0.2913041780945634
FOOD_NORM_SHIFT_R24,12,origins_2019_2021,35,8.396406183611257,-4.187559338627791,10.040841545235791,0.3409822423015987
FOOD_NORM_SHIFT_R24,12,origins_2022_2023,24,8.005329372888214,-0.9848953565030131,9.767098189083166,0.4652233226571775
FOOD_NORM_SHIFT_R24,12,origins_2024plus,19,3.3731191554664446,0.18656149801187352,3.6936492824196776,-0.5852093837949573
FOOD_ROBUST_WINDOW_R24,3,full,87,2.175231714714363,-0.37039680583850715,2.8154627697953862,0.5747904730187736
FOOD_ROBUST_WINDOW_R24,3,origins_2019_2021,35,1.7491000221417898,-0.3546072423824082,2.5326267130609956,0.7593846120762888
FOOD_ROBUST_WINDOW_R24,3,origins_2022_2023,24,3.292691663206443,-0.924475663402791,4.150223363240264,0.4919128927951623
FOOD_ROBUST_WINDOW_R24,3,origins_2024plus,28,1.2588422928155882,0.08479097489646902,1.3595276934648135,0.4539048903963733
FOOD_ROBUST_WINDOW_R24,6,full,84,4.081362342617094,-0.719052395664123,5.0577643456562935,0.4683927749483339
FOOD_ROBUST_WINDOW_R24,6,origins_2019_2021,35,3.8874323093552623,-1.202438355069091,5.130596042368289,0.6695040444675682
FOOD_ROBUST_WINDOW_R24,6,origins_2022_2023,24,5.580745724785213,-1.175528504345947,6.765832900044778,0.38553258894209913
FOOD_ROBUST_WINDOW_R24,6,origins_2024plus,25,2.2166069850913064,0.39590501183738297,2.2703383677282165,0.31441208877190746
FOOD_ROBUST_WINDOW_R24,12,full,78,7.400497895807835,-1.7637096902998655,8.826950490512017,0.18427611338968042
FOOD_ROBUST_WINDOW_R24,12,origins_2019_2021,35,8.393367338424357,-4.060510085633068,10.040841545235791,-0.005695663546347828
FOOD_ROBUST_WINDOW_R24,12,origins_2022_2023,24,8.235782442404027,-0.4011113320479563,9.767098189083166,0.36374851841055456
FOOD_ROBUST_WINDOW_R24,12,origins_2024plus,19,3.063181670726545,0.7460615327852018,3.6936492824196776,0.15990126053949094
FOOD_ZERO_DRIFT_R24,3,full,87,2.3836746956234505,-1.1426211397299133,2.8154627697953862,0.6089440796454763
FOOD_ZERO_DRIFT_R24,3,origins_2019_2021,35,1.9769778517912506,-1.0384936721979936,2.5326267130609956,0.7910797688338608
FOOD_ZERO_DRIFT_R24,3,origins_2022_2023,24,3.518282968559235,-1.742636337074724,4.150223363240264,0.5542096938810913
FOOD_ZERO_DRIFT_R24,3,origins_2024plus,28,1.469338149052114,-0.7584817335635459,1.3595276934648135,0.46656326171226925
FOOD_ZERO_DRIFT_R24,6,full,84,4.508681778885476,-2.253087730006854,5.0577643456562935,0.5279763468663123
FOOD_ZERO_DRIFT_R24,6,origins_2019_2021,35,4.456123556642533,-2.570211214700262,5.130596042368289,0.717583892223036
FOOD_ZERO_DRIFT_R24,6,origins_2022_2023,24,5.950651581954919,-2.811849851689814,6.765832900044778,0.4822770553077705
FOOD_ZERO_DRIFT_R24,6,origins_2024plus,25,2.551292643938199,-1.2727032146204413,2.2703383677282165,0.31213935847322927
FOOD_ZERO_DRIFT_R24,12,full,78,8.496704882294473,-4.789172489789812,8.826950490512017,0.30429937986379857
FOOD_ZERO_DRIFT_R24,12,origins_2019_2021,35,9.953284548089515,-6.79605580489541,10.040841545235791,0.33705208305139345
FOOD_ZERO_DRIFT_R24,12,origins_2022_2023,24,8.72212698689502,-3.6737540267356894,9.767098189083166,0.4740643132166876
FOOD_ZERO_DRIFT_R24,12,origins_2024plus,19,4.217407380726197,-2.5012318100320754,3.6936492824196776,-0.5941086848514425
STATE_FAST_R15,3,full,87,2.196451677971852,-0.21546311600101242,2.8154627697953862,0.5399946584972571
STATE_FAST_R15,3,origins_2019_2021,35,1.7758542356669147,-0.45237288773929285,2.5326267130609956,0.7664035289680307
STATE_FAST_R15,3,origins_2022_2023,24,3.2994915921886765,-0.6113487268268453,4.150223363240264,0.4371586458259011
STATE_FAST_R15,3,origins_2024plus,28,1.3101974221597303,0.42000462223683765,1.3595276934648135,0.48610154150937546
STATE_FAST_R15,6,full,84,4.192403777069995,-0.4115023030429866,5.0577643456562935,0.3763091380146488
STATE_FAST_R15,6,origins_2019_2021,35,3.9567099579007197,-1.3979696457828603,5.130596042368289,0.6702523784357911
STATE_FAST_R15,6,origins_2022_2023,24,5.695128224909845,-0.5492746311940557,6.765832900044778,0.2803900614489182
STATE_FAST_R15,6,origins_2024plus,25,2.44975852671233,1.1018134118178629,2.2703383677282165,0.33570747147649804
STATE_FAST_R15,12,full,78,7.842109557539443,-1.1740059933903688,8.826950490512017,-0.14033862920179316
STATE_FAST_R15,12,origins_2019_2021,35,8.618549075682422,-4.451572667060606,10.040841545235791,-0.11078290198627486
STATE_FAST_R15,12,origins_2022_2023,24,8.834515872395777,0.851396414255826,9.767098189083166,0.0862396084705694
STATE_FAST_R15,12,origins_2024plus,19,4.129167990823488,2.305213785291189,3.6936492824196776,-0.574700937951369
