Stored block error table, H=12, RMS of cumulative weighted error (pp of headline) - context only
model                              FOOD_NORM_SHIFT_R24  FOOD_ROBUST_WINDOW_R24  STATE_FAST_R15
sample            block                                                                       
full              administered                   1.979                   1.979           1.979
                  alcohol_tobacco                0.271                   0.271           0.271
                  core                           2.329                   2.329           2.329
                  food                           1.322                   1.330           1.407
                  fuel                           0.592                   0.592           0.592
                  h0                             0.419                   0.419           0.419
                  total                          4.450                   4.446           4.516
                  wedge                          0.246                   0.246           0.246
origins_2019_2021 administered                   1.625                   1.625           1.625
                  alcohol_tobacco                0.384                   0.384           0.384
                  core                           2.549                   2.549           2.549
                  food                           1.510                   1.510           1.550
                  fuel                           0.756                   0.756           0.756
                  h0                             0.276                   0.276           0.276
                  total                          5.943                   5.921           5.982
                  wedge                          0.269                   0.269           0.269
origins_2022_2023 administered                   2.964                   2.964           2.964
                  alcohol_tobacco                0.120                   0.120           0.120
                  core                           2.841                   2.841           2.841
                  food                           1.440                   1.480           1.585
                  fuel                           0.384                   0.384           0.384
                  h0                             0.699                   0.699           0.699
                  total                          3.531                   3.570           3.675
                  wedge                          0.247                   0.247           0.247
origins_2024plus  administered                   0.323                   0.323           0.323
                  alcohol_tobacco                0.106                   0.106           0.106
                  core                           0.316                   0.316           0.316
                  food                           0.597                   0.541           0.728
                  fuel                           0.444                   0.444           0.444
                  h0                             0.212                   0.212           0.212
                  total                          0.704                   0.688           0.864
                  wedge                          0.194                   0.194           0.194
model                              FOOD_NORM_SHIFT_R24  FOOD_ROBUST_WINDOW_R24  STATE_FAST_R15
sample            block                                                                       
full              administered                  -1.010                  -1.010          -1.010
                  alcohol_tobacco               -0.141                  -0.141          -0.141
                  core                           0.004                   0.004           0.004
                  food                          -0.395                  -0.328          -0.223
                  fuel                          -0.125                  -0.125          -0.125
                  h0                            -0.020                  -0.020          -0.020
                  total                         -1.700                  -1.633          -1.528
                  wedge                         -0.001                  -0.001          -0.001
origins_2019_2021 administered                  -0.747                  -0.747          -0.747
                  alcohol_tobacco               -0.309                  -0.309          -0.309
                  core                          -1.595                  -1.595          -1.595
                  food                          -0.762                  -0.739          -0.809
                  fuel                          -0.390                  -0.390          -0.390
                  h0                            -0.052                  -0.052          -0.052
                  total                         -3.745                  -3.723          -3.792
                  wedge                          0.110                   0.110           0.110
origins_2022_2023 administered                  -2.402                  -2.402          -2.402
                  alcohol_tobacco               -0.072                  -0.072          -0.072
                  core                           2.356                   2.356           2.356
                  food                          -0.191                  -0.087           0.137
                  fuel                           0.160                   0.160           0.160
                  h0                             0.002                   0.002           0.002
                  total                         -0.174                  -0.069           0.155
                  wedge                         -0.026                  -0.026          -0.026
origins_2024plus  administered                   0.262                   0.262           0.262
                  alcohol_tobacco                0.080                   0.080           0.080
                  core                          -0.021                  -0.021          -0.021
                  food                           0.024                   0.124           0.401
                  fuel                           0.004                   0.004           0.004
                  h0                            -0.001                  -0.001          -0.001
                  total                          0.140                   0.240           0.517
                  wedge                         -0.175                  -0.175          -0.175
