origin,series,stamp_t_minus_1,stamp_t,clock,t_minus_1_visible,t_visible
2019-02,agri4,2019-02-25 23:00:00+00:00,2019-03-25 23:00:00+00:00,2019-03-10 22:59:00+00:00,True,False
2019-02,food_ppi,2019-02-24 23:00:00+00:00,2019-03-15 23:00:00+00:00,2019-03-10 22:59:00+00:00,True,False
2019-02,food,2019-02-13 08:00:00+00:00,2019-03-11 08:00:00+00:00,2019-03-10 22:59:00+00:00,True,False
2019-03,agri4,2019-03-25 23:00:00+00:00,2019-04-25 22:00:00+00:00,2019-04-09 21:59:00+00:00,True,False
2019-03,food_ppi,2019-03-15 23:00:00+00:00,2019-04-19 22:00:00+00:00,2019-04-09 21:59:00+00:00,True,False
2019-03,food,2019-03-11 08:00:00+00:00,2019-04-10 07:00:00+00:00,2019-04-09 21:59:00+00:00,True,False
2019-04,agri4,2019-04-25 22:00:00+00:00,2019-05-25 22:00:00+00:00,2019-05-12 21:59:00+00:00,True,False
2019-04,food_ppi,2019-04-19 22:00:00+00:00,2019-05-19 22:00:00+00:00,2019-05-12 21:59:00+00:00,True,False
2019-04,food,2019-04-10 07:00:00+00:00,2019-05-13 07:00:00+00:00,2019-05-12 21:59:00+00:00,True,False
2019-05,agri4,2019-05-25 22:00:00+00:00,2019-06-25 22:00:00+00:00,2019-06-10 21:59:00+00:00,True,False
2019-05,food_ppi,2019-05-19 22:00:00+00:00,2019-06-15 22:00:00+00:00,2019-06-10 21:59:00+00:00,True,False
2019-05,food,2019-05-13 07:00:00+00:00,2019-06-11 07:00:00+00:00,2019-06-10 21:59:00+00:00,True,False
2019-06,agri4,2019-06-25 22:00:00+00:00,2019-07-25 22:00:00+00:00,2019-07-10 21:59:00+00:00,True,False
2019-06,food_ppi,2019-06-15 22:00:00+00:00,2019-07-16 22:00:00+00:00,2019-07-10 21:59:00+00:00,True,False
2019-06,food,2019-06-11 07:00:00+00:00,2019-07-11 07:00:00+00:00,2019-07-10 21:59:00+00:00,True,False
2019-07,agri4,2019-07-25 22:00:00+00:00,2019-08-25 22:00:00+00:00,2019-08-11 21:59:00+00:00,True,False
2019-07,food_ppi,2019-07-16 22:00:00+00:00,2019-08-15 22:00:00+00:00,2019-08-11 21:59:00+00:00,True,False
