H,sample,name,n,rmse,bias
3,full,FOOD_NORM_SHIFT_R24,84,2.1773508096600787,-0.4509565851602152
3,full,CAND,84,2.0906137015809896,-0.5882043095560611
3,full,PPI,84,2.0303379335867686,-0.5793561304569688
3,full,AGRI,84,2.4304447855803697,-1.1932597892814194
3,full,TREND,84,2.2839391494141235,-0.5519522257824105
3,full,CONST,84,2.180963999018823,-0.4726476902958731
3,full,MARGIN,84,2.174989516064686,-0.7131126355190771
3,full,MARGIN_NC,84,2.2016205998278497,-0.7475779187967255
3,full,MARGIN_T,84,1.9056331770468817,-0.09200471530929967
3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.7679554671145803,-0.3047920329177584
3,origins_2019_2021,CAND,32,1.700016222289326,-0.47926434330818324
3,origins_2019_2021,PPI,32,1.6259073796011314,-0.2767169919198596
3,origins_2019_2021,AGRI,32,1.6909970561361574,-0.5426222456305884
3,origins_2019_2021,TREND,32,1.7443949314403233,-0.481026021307902
3,origins_2019_2021,CONST,32,1.7831821481365147,-0.3376706643008371
3,origins_2019_2021,MARGIN,32,1.822539320017157,-0.4835891957350191
3,origins_2019_2021,MARGIN_NC,32,1.8001054425233236,-0.47600456249007467
3,origins_2019_2021,MARGIN_T,32,1.5937916002529482,-0.12058140206694298
3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,3.2515661483198777,-1.070421669516555
3,origins_2022_2023,CAND,24,3.151980247164478,-1.4469261072855957
3,origins_2022_2023,PPI,24,3.0405320249181793,-1.494009140551199
3,origins_2022_2023,AGRI,24,3.5937442567818736,-2.6615613143598877
3,origins_2022_2023,TREND,24,3.4829486854640135,-1.296177226867526
3,origins_2022_2023,CONST,24,3.2528748538749666,-1.0712946812894106
3,origins_2022_2023,MARGIN,24,3.185464640575945,-1.1126665732509455
3,origins_2022_2023,MARGIN_NC,24,3.1865781098265096,-1.117418053502302
3,origins_2022_2023,MARGIN_T,24,2.788947113493208,0.24287242399926864
3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,1.2601905039587218,-0.08703171541758856
3,origins_2024plus,CAND,28,1.1372686901102929,0.02334012707167996
3,origins_2024plus,PPI,28,1.192243155457068,-0.14124113727575344
3,origins_2024plus,AGRI,28,1.8393532994368884,-0.6783013891008248
3,origins_2024plus,TREND,28,1.3317571697694397,0.004896398605393232
3,origins_2024plus,CONST,28,1.2514908702392362,-0.1137811562957393
3,origins_2024plus,MARGIN,28,1.303065662888353,-0.632950334359256
3,origins_2024plus,MARGIN_NC,28,1.4609723495742475,-0.7409416391138324
3,origins_2024plus,MARGIN_T,28,1.1507429018576418,-0.3463831927079086
6,full,FOOD_NORM_SHIFT_R24,81,4.097396688686691,-0.9338281576079297
6,full,CAND,81,3.821386366064745,-1.136891214289302
6,full,PPI,81,3.7577552703648722,-1.1054363685666249
6,full,AGRI,81,4.242799829431953,-2.025990680343108
6,full,TREND,81,4.246770290531993,-1.1300022825216263
6,full,CONST,81,4.117201391856643,-0.9638184457501876
6,full,MARGIN,81,4.1048320792530415,-1.2783002689852876
6,full,MARGIN_NC,81,4.116180689016085,-1.314067288773494
6,full,MARGIN_T,81,3.673525541920533,-0.32953779285834367
6,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,4.029751740540508,-1.318677305925996
6,origins_2019_2021,CAND,32,3.773006308786053,-1.5667551222623812
6,origins_2019_2021,PPI,32,3.724210139648138,-1.2787581070071083
6,origins_2019_2021,AGRI,32,3.7896654955933364,-1.657087855257167
6,origins_2019_2021,TREND,32,3.9335868217513146,-1.6185222302410907
6,origins_2019_2021,CONST,32,4.078821404349616,-1.3838195274645342
6,origins_2019_2021,MARGIN,32,4.19867465603136,-1.6631923540367366
6,origins_2019_2021,MARGIN_NC,32,4.156293339761766,-1.6492520720930193
6,origins_2019_2021,MARGIN_T,32,3.6777333691411953,-1.0567528151849928
6,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,5.471912984367883,-1.467420516573475
6,origins_2022_2023,CAND,24,5.175787990603758,-2.0027627640263304
6,origins_2022_2023,PPI,24,5.011840340151304,-2.0697089519508602
6,origins_2022_2023,AGRI,24,5.610072740183279,-3.7973684438585216
6,origins_2022_2023,TREND,24,5.860608724380165,-1.8713620633973551
6,origins_2022_2023,CONST,24,5.475624539246439,-1.4691641933552724
6,origins_2022_2023,MARGIN,24,5.421902912648541,-1.5288286476678705
6,origins_2022_2023,MARGIN_NC,24,5.400306959886198,-1.5419804987566768
6,origins_2022_2023,MARGIN_T,24,4.93865086004071,0.42334159694631807
6,origins_2024plus,FOOD_NORM_SHIFT_R24,25,2.205744297827885,0.07102741684611913
6,origins_2024plus,CAND,25,1.837098704954676,0.24457127566378623
6,origins_2024plus,PPI,25,1.9708062805670745,0.04211713668605979
6,origins_2024plus,AGRI,25,3.118905756880834,-0.797663643478316
6,origins_2024plus,TREND,25,2.3780554237547857,0.2070086401999882
6,origins_2024plus,CONST,25,2.200935288098072,0.058914856545057515
6,origins_2024plus,MARGIN,25,1.9510900122461736,-0.5451311565841533
6,origins_2024plus,MARGIN_NC,25,2.187839810720336,-0.6662340845406467
6,origins_2024plus,MARGIN_T,25,1.730760750162504,-0.12146677849270836
12,full,FOOD_NORM_SHIFT_R24,75,7.465822062938064,-2.0780353705350647
12,full,CAND,75,7.123946222624579,-2.2757726129013762
12,full,PPI,75,7.108889805898344,-2.240762194189308
12,full,AGRI,75,7.403353544539538,-3.265264165322275
12,full,TREND,75,7.539090905940684,-2.3251066568073244
12,full,CONST,75,7.502230817639088,-2.1078613447979357
12,full,MARGIN,75,7.602644105123047,-2.3645797016850967
12,full,MARGIN_NC,75,7.579021554536277,-2.4225954985732887
12,full,MARGIN_T,75,7.295727881860424,-1.355042157197783
12,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,8.707323688127058,-4.242494771758849
12,origins_2019_2021,CAND,32,8.416026860536613,-4.490572588095233
12,origins_2019_2021,PPI,32,8.418145786365553,-4.202575572839961
12,origins_2019_2021,AGRI,32,8.467054840841463,-4.580905321090019
12,origins_2019_2021,TREND,32,8.5434449412454,-4.542339696073943
12,origins_2019_2021,CONST,32,8.776096429813732,-4.307636993297387
12,origins_2019_2021,MARGIN,32,8.972194763010913,-4.587009819869588
12,origins_2019_2021,MARGIN_NC,32,8.959253133977427,-4.573069537925871
12,origins_2019_2021,MARGIN_T,32,8.408149729467375,-3.9805702810178447
12,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,8.005329372888214,-0.9848953565030131
12,origins_2022_2023,CAND,24,7.564233071708692,-1.5202376039558676
12,origins_2022_2023,PPI,24,7.471294669126744,-1.5871837918803975
12,origins_2022_2023,AGRI,24,7.822494477719581,-3.3148432837880595
12,origins_2022_2023,TREND,24,8.41479555265359,-1.388836903326893
12,origins_2022_2023,CONST,24,8.00947350622224,-0.9866390332848102
12,origins_2022_2023,MARGIN,24,8.116770238857068,-1.0463034875974084
12,origins_2022_2023,MARGIN_NC,24,8.069507308775371,-1.059455338686215
12,origins_2022_2023,MARGIN_T,24,8.088626560650315,0.9058667570167801
12,origins_2024plus,FOOD_NORM_SHIFT_R24,19,3.3731191554664446,0.18656149801187352
12,origins_2024plus,CAND,19,2.960516907618535,0.500056807704479
12,origins_2024plus,PPI,19,3.1022233305889,0.2377718300952751
12,origins_2024plus,AGRI,19,4.279797312732914,-0.9868212270198179
12,origins_2024plus,TREND,19,3.462100131733817,0.2265240365085401
12,origins_2024plus,CONST,19,3.3793822956861477,0.18074314339508527
12,origins_2024plus,MARGIN,19,3.0594019182018948,-0.28673050990618765
12,origins_2024plus,MARGIN_NC,19,3.04983077492932,-0.5226057395210312
12,origins_2024plus,MARGIN_T,19,2.897811045175943,0.21101500180708202
