report_date,cutoff_date,origin,origin_clock,model,quarter,quarters_ahead,forecast,realised,error
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,cnb,2022Q1,1,9.637,11.23658150891361,-1.5995815089136087
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,cnb,2022Q2,2,9.505,15.772308516091234,-6.267308516091234
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,cnb,2022Q3,3,8.17,17.578003612072628,-9.408003612072628
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,cnb,2022Q4,4,6.627,15.69904392215021,-9.072043922150211
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,INDEPENDENT_BRIDGE,2022Q1,1,11.177,11.23658150891361,-0.05958150891360958
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,INDEPENDENT_BRIDGE,2022Q2,2,12.087,15.772308516091234,-3.6853085160912347
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,INDEPENDENT_BRIDGE,2022Q3,3,11.082,17.578003612072628,-6.496003612072627
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,INDEPENDENT_BRIDGE,2022Q4,4,10.125,15.69904392215021,-5.57404392215021
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LOCAL_CORE_R14B,2022Q1,1,10.315,11.23658150891361,-0.9215815089136097
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LOCAL_CORE_R14B,2022Q2,2,10.617,15.772308516091234,-5.1553085160912335
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LOCAL_CORE_R14B,2022Q3,3,9.739,17.578003612072628,-7.839003612072627
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LOCAL_CORE_R14B,2022Q4,4,8.879,15.69904392215021,-6.8200439221502105
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_PIPELINE_R14B,2022Q1,1,11.1,11.23658150891361,-0.13658150891360954
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_PIPELINE_R14B,2022Q2,2,11.858,15.772308516091234,-3.914308516091234
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_PIPELINE_R14B,2022Q3,3,10.8,17.578003612072628,-6.778003612072627
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_PIPELINE_R14B,2022Q4,4,9.788,15.69904392215021,-5.91104392215021
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_CORE_R14B,2022Q1,1,10.503,11.23658150891361,-0.7335815089136091
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_CORE_R14B,2022Q2,2,10.785,15.772308516091234,-4.987308516091234
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_CORE_R14B,2022Q3,3,9.498,17.578003612072628,-8.080003612072629
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_CORE_R14B,2022Q4,4,8.7,15.69904392215021,-6.999043922150211
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_GAP_R14B,2022Q1,1,10.563,11.23658150891361,-0.6735815089136086
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_GAP_R14B,2022Q2,2,10.933,15.772308516091234,-4.839308516091235
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_GAP_R14B,2022Q3,3,9.73,17.578003612072628,-7.8480036120726275
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,STABLE_LONG_GAP_R14B,2022Q4,4,9.018,15.69904392215021,-6.681043922150209
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,F1b,2022Q1,1,11.176,11.23658150891361,-0.06058150891360903
2022-02-10,2022-01-21,2021-12,2022-01-11 23:59,F1b,2022Q2,2,11.87,15.772308516091234,-3.902308516091235
