run,horizon,n,first_edge,last_edge,original_rmse,causal_rmse,median_rmse,max_forecast_change
paper_full_exact,3,161,2012-02,2025-06,0.716841021926749,0.7279778979790908,0.7371895697804973,0.22792572240365105
paper_full_exact,6,155,2012-05,2025-03,0.7113704543586665,0.7094292587587898,0.7274414682526421,0.11868183615716377
paper_full_exact,9,149,2012-08,2024-12,0.7400153998125525,0.7398694126205125,0.7600826228545198,0.07455467873627702
paper_full_exact,12,143,2012-11,2024-09,0.6868123992286458,0.686218824314428,0.6901573377153215,0.0836245929525172
paper_full_luci,3,161,2012-02,2025-06,0.7145602379111329,0.7258762510207287,0.7373773150358941,0.3332895970427816
paper_full_luci,6,155,2012-05,2025-03,0.7252734544185211,0.7211197791867492,0.7305422618560296,0.2547667616130743
paper_full_luci,9,149,2012-08,2024-12,0.7406303877335656,0.7419414590549297,0.755609109919891,0.20378775263845705
paper_full_luci,12,143,2012-11,2024-09,0.705713462439895,0.7048389135596216,0.6966538917775391,0.0878162028996453
realtime_full_luci,1,175,2011-12,2026-06,0.6590141823958552,0.6732024598561631,0.6908610233996759,0.3116370986750411
realtime_full_luci,2,173,2012-01,2026-05,0.693263113469515,0.7048310766800898,0.7032799256073891,0.5125469093279427
realtime_full_luci,3,171,2012-02,2026-04,0.7170582496798693,0.7252950507496742,0.7264959592294173,0.4316657433426073
realtime_full_luci,4,169,2012-03,2026-03,0.686034734611021,0.6856592795900917,0.713883669529121,0.24603339329366436
realtime_full_luci,5,167,2012-04,2026-02,0.6973254579931338,0.6888890937533988,0.6905221611865071,0.40259321674663295
realtime_full_luci,6,165,2012-05,2026-01,0.7138371010852999,0.7030323912956989,0.6977783841684732,0.40083619318242575
realtime_full_luci,7,163,2012-06,2025-12,0.7107397764720441,0.7113699041676811,0.7222561391899113,0.17089371145698562
realtime_full_luci,8,161,2012-07,2025-11,0.6924477417069979,0.694073590269665,0.7084485710120564,0.10410212531213928
realtime_full_luci,9,159,2012-08,2025-10,0.7263819087449921,0.7278832156703761,0.7402737508839986,0.1573465213563029
realtime_full_luci,10,157,2012-09,2025-09,0.7314408683597259,0.7318529468885868,0.7422051528968863,0.14856590758127228
realtime_full_luci,11,155,2012-10,2025-08,0.7513118442461582,0.7514324876995668,0.7459380379623493,0.16986621938991253
realtime_full_luci,12,153,2012-11,2025-07,0.6868342263490989,0.6864133815512791,0.6822166165707042,0.15682121340297467
realtime_full_luci,13,151,2012-12,2025-06,0.7588271391328409,0.7570822725169299,0.7633471135716966,0.15492581107873596
realtime_full_luci_month,1,175,2011-12,2026-06,0.6077327630540167,0.6232965924314294,0.6387309049488461,0.29929447486097793
realtime_full_luci_month,2,173,2012-01,2026-05,0.6432525633970727,0.6544221283738817,0.6635246247139238,0.565917080200561
realtime_full_luci_month,3,171,2012-02,2026-04,0.6941511289433414,0.7020807019557296,0.7165290595660224,0.43882222294944667
realtime_full_luci_month,4,169,2012-03,2026-03,0.6702243103868533,0.6658087399080869,0.6911703832733989,0.39472717400802265
realtime_full_luci_month,5,167,2012-04,2026-02,0.677624269328195,0.6673055282669833,0.6796617933592094,0.3243743434756077
realtime_full_luci_month,6,165,2012-05,2026-01,0.6854432431001123,0.677721025091471,0.6833993943639128,0.22717400124542575
realtime_full_luci_month,7,163,2012-06,2025-12,0.6924588367784688,0.6921309706234553,0.7013772136814431,0.18247798191930598
realtime_full_luci_month,8,161,2012-07,2025-11,0.6876217477668265,0.6881955575756037,0.69962105977231,0.08698644701249297
realtime_full_luci_month,9,159,2012-08,2025-10,0.7172747112439171,0.7195891589158933,0.72780401642065,0.1390232340108393
realtime_full_luci_month,10,157,2012-09,2025-09,0.7099456713358913,0.7104301128245215,0.7280576957311617,0.13730877662640698
realtime_full_luci_month,11,155,2012-10,2025-08,0.6936321868554615,0.6945036195270725,0.7085230284830372,0.2045878835946553
realtime_full_luci_month,12,153,2012-11,2025-07,0.6596415541760762,0.6567549427716219,0.6690714593915672,0.10734168521709309
realtime_full_luci_month,13,151,2012-12,2025-06,0.6921336689576623,0.6912042094794273,0.70144623614096,0.15854225933254973
