h,model,n,rmse_recomputed,published
3,AR3,175,0.7325763726143368,0.71
3,AR3_DIRECT,175,0.7482372921806173,
3,AR3_TMH,175,0.7174987820592454,0.71
3,ARIMA313,175,0.7440765964671088,0.716
3,ARIMA313_TMH,175,0.7061311527976281,0.716
3,LQR_ENSEMBLE,175,0.7256458172841597,0.739
3,QRF_MEAN,175,0.7055321377086153,0.713
3,QRF_MEDIAN,175,0.7234516795204207,0.731
3,RW,175,0.9846436340765959,0.896
3,RW_TMH,175,0.8814148816542245,0.896
3,TVW1,175,0.7127383822295215,0.694
3,TVW2,175,0.7189679733767331,0.701
3,TVW3,175,0.7067828233426091,0.669
6,AR3,172,0.7232190608398359,0.74
6,AR3_DIRECT,172,0.7240132582896182,
6,AR3_TMH,172,0.734887167657309,0.74
6,ARIMA313,172,0.711558887757956,0.736
6,ARIMA313_TMH,172,0.7359519896205834,0.736
6,LQR_ENSEMBLE,172,0.7261255825295203,0.748
6,QRF_MEAN,172,0.6953167827924621,0.723
6,QRF_MEDIAN,172,0.7067449855340496,0.708
6,RW,172,0.8878130572198357,0.715
6,RW_TMH,172,0.6964867696502695,0.715
6,TVW1,172,0.6962855956370942,0.688
6,TVW2,172,0.6977388715887891,0.693
6,TVW3,172,0.69474893988563,0.661
9,AR3,169,0.7382852171300457,0.753
9,AR3_DIRECT,169,0.7524966596231487,
9,AR3_TMH,169,0.7430047710137232,0.753
9,ARIMA313,169,0.7278274761994651,0.787
9,ARIMA313_TMH,169,0.7661036384186719,0.787
9,LQR_ENSEMBLE,169,0.7494898568664817,0.765
9,QRF_MEAN,169,0.7181839811953757,0.737
9,QRF_MEDIAN,169,0.7330986778366434,0.748
9,RW,169,0.9786557773755609,1.005
9,RW_TMH,169,0.9793380772189743,1.005
9,TVW1,169,0.7254899094001578,0.732
9,TVW2,169,0.7272641141281978,0.738
9,TVW3,169,0.713807746569414,0.712
12,AR3,166,0.7461672687175674,0.765
12,AR3_DIRECT,166,0.6669785789387219,
12,AR3_TMH,166,0.748527857396311,0.765
12,ARIMA313,166,0.74792537028373,0.772
12,ARIMA313_TMH,166,0.762367452314784,0.772
12,LQR_ENSEMBLE,166,0.6350274904519748,0.659
12,QRF_MEAN,166,0.6596922796132059,0.7
12,QRF_MEDIAN,166,0.653282404414016,0.707
12,RW,166,0.7078575961495222,0.874
12,RW_TMH,166,0.8451709487101298,0.874
12,TVW1,166,0.6527926148003016,0.687
12,TVW2,166,0.6513985883670892,0.69
12,TVW3,166,0.6498493516091416,0.662
