model,frame,n,consensus_rmse,shrink_rmse,model_rmse,consensus_mae,shrink_mae,model_mae
HARD_BASE,all,66,0.42444259346997093,0.428770081460005,0.4639649201156583,0.2803030303030303,0.2781965849120879,0.28661875252670865
HARD_BASE,2024+,31,0.24096579867074971,0.22740074618554762,0.2189777613407202,0.1870967741935484,0.18061180302580976,0.1690393240182862
HARD_BASE,2025+,19,0.19466570535691508,0.1860040881717903,0.17300164605167864,0.15789473684210525,0.153022534224207,0.13929634726858153
HARD_BASE,big_correct,20,0.7259476565152614,0.7264407906287048,0.7268214334864763,0.6000000000000001,0.5756217839742721,0.4904472258549295
HARD_BASE,big_script,20,0.7259476565152614,0.7264407906287048,0.7268214334864763,0.6000000000000001,0.5756217839742721,0.4904472258549295
HARD_FULL,all,66,0.42444259346997093,0.42072170809391307,0.461194418168175,0.2803030303030303,0.27315051645200383,0.29582264915993
HARD_FULL,2024+,31,0.24096579867074971,0.21366923575181962,0.22531658006178426,0.1870967741935484,0.17211043759055938,0.17263970528256042
HARD_FULL,2025+,19,0.19466570535691508,0.17929458232906173,0.16382712429385018,0.15789473684210525,0.14858077901307357,0.13239549655765356
HARD_FULL,big_correct,20,0.7259476565152614,0.7058056761794861,0.7032908061345318,0.6000000000000001,0.5479624825607972,0.4930868999943299
HARD_FULL,big_script,20,0.7259476565152614,0.7058056761794861,0.7032908061345318,0.6000000000000001,0.5479624825607972,0.4930868999943299
HARD_HALF,all,66,0.42444259346997093,0.424297490349251,0.46023930102982896,0.2803030303030303,0.2749211385310209,0.2891624918538357
HARD_HALF,2024+,31,0.24096579867074971,0.21877078713847095,0.2195880711904428,0.1870967741935484,0.17500354128441603,0.16785552729960737
HARD_HALF,2025+,19,0.19466570535691508,0.18219966051819295,0.16560096093755453,0.15789473684210525,0.15009633774008432,0.13375320629228
HARD_HALF,big_correct,20,0.7259476565152614,0.7151674581568863,0.71354533787778,0.6000000000000001,0.5593494258923979,0.4906739242732063
HARD_HALF,big_script,20,0.7259476565152614,0.7151674581568863,0.71354533787778,0.6000000000000001,0.5593494258923979,0.4906739242732063
LEGACY_BASE,all,66,0.42444259346997093,0.42754875265161507,0.46402489336631436,0.2803030303030303,0.27863609124774796,0.29303346588996904
LEGACY_BASE,2024+,31,0.24096579867074971,0.22743749156266535,0.21659843528266012,0.1870967741935484,0.18000101781081368,0.17001376637286428
LEGACY_BASE,2025+,19,0.19466570535691508,0.18464851281816114,0.16969570717873986,0.15789473684210525,0.1522927206198835,0.1413959766410337
LEGACY_BASE,big_correct,20,0.7259476565152614,0.7269473609537078,0.7253205701347619,0.6000000000000001,0.582163390108851,0.5087622947500705
LEGACY_BASE,big_script,20,0.7259476565152614,0.7269473609537078,0.7253205701347619,0.6000000000000001,0.582163390108851,0.5087622947500705
